,country,beer_servings,spirit_servings,wine_servings,continent,total_litres_of_pure_alcohol,alcohol
0,Afghanistan,0,0,low,AS,0.0,0.0
1,Albania,89,132,low,EU,4.9,4.9
2,Algeria,25,0,low,AF,0.7,0.7
3,Andorra,245,138,high,EU,12.4,12.4
4,Angola,217,57,low,AF,5.9,5.9
5,Antigua & Barbuda,102,128,low,NoA,4.9,4.9
6,Argentina,193,25,high,SA,8.3,8.3
7,Armenia,21,179,low,EU,3.8,3.8
8,Australia,261,72,high,OC,10.4,10.4
9,Austria,279,75,high,EU,9.7,9.7
10,Azerbaijan,21,46,low,EU,1.3,1.3
11,Bahamas,122,176,low,NoA,6.3,6.3
12,Bahrain,42,63,low,AS,2.0,2.0
13,Bangladesh,0,0,low,AS,0.0,0.0
14,Barbados,143,173,low,NoA,6.3,6.3
15,Belarus,142,373,low,EU,14.4,14.4
16,Belgium,295,84,high,EU,10.5,10.5
17,Belize,263,114,low,NoA,6.8,6.8
18,Benin,34,4,low,AF,1.1,1.1
19,Bhutan,23,0,low,AS,0.4,0.4
20,Bolivia,167,41,low,SA,3.8,3.8
21,Bosnia-Herzegovina,76,173,low,EU,4.6,4.6
22,Botswana,173,35,low,AF,5.4,5.4
23,Brazil,245,145,low,SA,7.2,7.2
24,Brunei,31,2,low,AS,0.6,0.6
25,Bulgaria,231,252,low,EU,10.3,10.3
26,Burkina Faso,25,7,low,AF,4.3,4.3
27,Burundi,88,0,low,AF,6.3,6.3
28,Cote d'Ivoire,37,1,low,AF,4.0,4.0
29,Cabo Verde,144,56,low,AF,4.0,4.0
30,Cambodia,57,65,low,AS,2.2,2.2
31,Cameroon,147,1,low,AF,5.8,5.8
32,Canada,240,122,low,NoA,8.2,8.2
33,Central African Republic,17,2,low,AF,1.8,1.8
34,Chad,15,1,low,AF,0.4,0.4
35,Chile,130,124,high,SA,7.6,7.6
36,China,79,192,low,AS,5.0,5.0
37,Colombia,159,76,low,SA,4.2,4.2
38,Comoros,1,3,low,AF,0.1,0.1
39,Congo,76,1,low,AF,1.7,1.7
40,Cook Islands,0,254,low,OC,5.9,5.9
41,Costa Rica,149,87,low,NoA,4.4,4.4
42,Croatia,230,87,high,EU,10.2,10.2
43,Cuba,93,137,low,NoA,4.2,4.2
44,Cyprus,192,154,high,EU,8.2,8.2
45,Czech Republic,361,170,high,EU,11.8,11.8
46,North Korea,0,0,low,AS,0.0,0.0
47,DR Congo,32,3,low,AF,2.3,2.3
48,Denmark,224,81,high,EU,10.4,10.4
49,Djibouti,15,44,low,AF,1.1,1.1
50,Dominica,52,286,low,NoA,6.6,6.6
51,Dominican Republic,193,147,low,NoA,6.2,6.2
52,Ecuador,162,74,low,SA,4.2,4.2
53,Egypt,6,4,low,AF,0.2,0.2
54,El Salvador,52,69,low,NoA,2.2,2.2
55,Equatorial Guinea,92,0,high,AF,5.8,5.8
56,Eritrea,18,0,low,AF,0.5,0.5
57,Estonia,224,194,low,EU,9.5,9.5
58,Ethiopia,20,3,low,AF,0.7,0.7
59,Fiji,77,35,low,OC,2.0,2.0
60,Finland,263,133,low,EU,10.0,10.0
61,France,127,151,high,EU,11.8,11.8
62,Gabon,347,98,low,AF,8.9,8.9
63,Gambia,8,0,low,AF,2.4,2.4
64,Georgia,52,100,high,EU,5.4,5.4
65,Germany,346,117,high,EU,11.3,11.3
