"filter.id","EQ_ID","rec.id","Year","Month","Day","Hour","Minute","Second","Lat","Lat.min","Lon","Lon.min","Depth","ML","Sta.num","closest.epi","angle","RMS","ERH","ERZ","N","Number","quality","Lon.X","Lat.Y","Pfile","ts_name","P_arr_time","S_arr_time","Index","Sec_CMT","Lon_CMT","Lat_CMT","Dep_CMT","Mw_CMT","Strike1_CMT","Dip1_CMT","Slip1_CMT","Strike2_CMT","Dip2_CMT","Slip2_CMT","CMT.sec","CMT.id","Sec_BATS","EQ_Lat_BATS","EQ_Lon_BATS","Depth_CWB","ML_BATS","Strike1_BATS","Dip1_BATS","Slip1_BATS","Strike2_BATS","Dip2_BATS","Slip2_BATS","M0_BATS","Mw_BATS","BATS.sec","BATS.id","FM1_total_sec","sec_diff","abs_sec_diff","FM_loc.x","FM_loc.y","R_diff","Lon.WU","Lat.WU","Dep.WU","ML.WU","Strike1.WU","Dip1.WU","Slip1.WU","Strike2.WU","Dip2.WU","Slip2.WU","has_FM","final.Lon","final.Lat","final.Dep","Tran_Mw","Final_Mw","Mw_index","Final_Strike_1","Final_Dip_1","Final_Slip_1","Final_Strike_2","Final_Dip_2","Final_Slip_2","FM_Index","Fnm_1","Frv_1","Fnm_2","Frv_2","Sta","Name","County","City","Net","Lon.Sta.X","Lat.Sta.Y","El.","address","Lon_67","Lat_67","X2020_pick","suggested.Vs30_EGDT","PS_log.30m","LT.SiteClass.Vs30","LT.SiteClass.2001","LT.Vs30.measured","LT.Vs30.estimated","X2020.Vs30","Vs30.Index","NOTE","Rrup_p1","Rrup_p2","Avg_Rrup","Hypo","Adopted_Rrup"
"B000001","2018_0101_0321_57","2018_0101_0321_57_EDH",2018,1,1,3,21,56.65,22,51.92,121,14.48,8.93,3.85,99,12.3,74,0.33,0.1,0.1,"F",176,"C",121.241333333333,22.8653333333333,"13010321.P18","201801010321_EDH_13010321.P18.asc",20,22.40039,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.65,22.8653,121.2413,8.93,3.85,320.63,47.01,16.36,219.31,78.11,135.83,1.83e+21,3.44,1316.65,"BATS_5445",1316.65,0,0,121.2413,22.8653,0.00495535624903169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,121.241333333333,22.8653333333333,8.93,3.65,3.7,"BATS",320.63,47.01,16.36,219.31,78.11,135.83,"BATS",0,0,0,1,"EDH","東河","臺東縣","東河鄉","CWB_BH",121.3039,22.9725,-221,"東河村16鄰35號",280331.122,2541475.601,519.107,663.94,1,NA,NA,NA,NA,663.94,"EGDT.mea",NA,NA,NA,NA,16.179584790717,16.179584790717
"B000002","2018_0101_0321_57","2018_0101_0321_57_TTN",2018,1,1,3,21,56.65,22,51.92,121,14.48,8.93,3.85,99,12.3,74,0.33,0.1,0.1,"F",176,"C",121.241333333333,22.8653333333333,"13010321.P18","201801010321_TTN_13010321.P18.asc",20,23.2998,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.65,22.8653,121.2413,8.93,3.85,320.63,47.01,16.36,219.31,78.11,135.83,1.83e+21,3.44,1316.65,"BATS_5445",1316.65,0,0,121.2413,22.8653,0.00495535624903169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,121.241333333333,22.8653333333333,8.93,3.65,3.7,"BATS",320.63,47.01,16.36,219.31,78.11,135.83,"BATS",0,0,0,1,"TTN","台東市","台東縣","台東市","CWB_BH",121.1549,22.7524,-287,"大同路106號",265079.147,2517079.66,664.919,491.66,1,"C3","D","-",665,491.66,"EGDT.mea","",NA,NA,NA,17.745622699697,17.745622699697
"B000003","2018_0101_1248_23","2018_0101_1248_23_EDH",2018,1,1,12,48,22.89,22,51.76,121,14.26,8,4.02,99,12,76,0.33,0.1,0.2,"F",168,"C",121.237666666667,22.8626666666667,"13011248.P18","201801011248_EDH_13011248.P18.asc",20,22.40234,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.89,22.8626,121.2376,8,4.02,326.16,17.93,15.66,221.22,85.24,107.3,8.37e+21,3.89,2902.89,"BATS_5446",2902.89,0,0,121.2376,22.8626,0.00991071249830236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,121.237666666667,22.8626666666667,8,3.83,4.12,"BATS",326.16,17.93,15.66,221.22,85.24,107.3,"BATS",0,0,0,1,"EDH","東河","臺東縣","東河鄉","CWB_BH",121.3039,22.9725,-221,"東河村16鄰35號",280331.122,2541475.601,519.107,663.94,1,NA,NA,NA,NA,663.94,"EGDT.mea",NA,NA,NA,NA,16.0655103871617,16.0655103871617
"B000004","2018_0101_1248_23","2018_0101_1248_23_LDU",2018,1,1,12,48,22.89,22,51.76,121,14.26,8,4.02,99,12,76,0.33,0.1,0.2,"F",168,"C",121.237666666667,22.8626666666667,"13011248.P18","201801011248_LDU_13011248.P18.asc",20,24.39844,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.89,22.8626,121.2376,8,4.02,326.16,17.93,15.66,221.22,85.24,107.3,8.37e+21,3.89,2902.89,"BATS_5446",2902.89,0,0,121.2376,22.8626,0.00991071249830236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,121.237666666667,22.8626666666667,8,3.83,4.12,"BATS",326.16,17.93,15.66,221.22,85.24,107.3,"BATS",0,0,0,1,"LDU","綠島","臺東縣","綠島鄉","CWB_BH",121.4693,22.6733,-185,"中寮村3號",297395.704,2508388.783,607.486,617.87,NA,NA,NA,NA,NA,607.486,"pick",NA,NA,NA,NA,32.7055185557422,32.7055185557422
"B000005","2018_0101_1248_23","2018_0101_1248_23_TTN",2018,1,1,12,48,22.89,22,51.76,121,14.26,8,4.02,99,12,76,0.33,0.1,0.2,"F",168,"C",121.237666666667,22.8626666666667,"13011248.P18","201801011248_TTN_13011248.P18.asc",20,23.30078,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.89,22.8626,121.2376,8,4.02,326.16,17.93,15.66,221.22,85.24,107.3,8.37e+21,3.89,2902.89,"BATS_5446",2902.89,0,0,121.2376,22.8626,0.00991071249830236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,121.237666666667,22.8626666666667,8,3.83,4.12,"BATS",326.16,17.93,15.66,221.22,85.24,107.3,"BATS",0,0,0,1,"TTN","台東市","台東縣","台東市","CWB_BH",121.1549,22.7524,-287,"大同路106號",265079.147,2517079.66,664.919,491.66,1,"C3","D","-",665,491.66,"EGDT.mea","",NA,NA,NA,16.8915697612744,16.8915697612744
"B000006","2018_0101_1922_03","2018_0101_1922_03_CHY",2018,1,1,19,22,2.96,22,51.75,121,14.33,8.84,4.28,99,12.1,74,0.35,0.1,0.2,"F",198,"C",121.238833333333,22.8625,"13011921.P18","201801011922_CHY_13011921.P18.asc",20,34.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.96,22.8625,121.2388,8.84,4.28,55.33,72.98,-178.82,324.98,88.87,-17.03,4.11e+21,3.68,1322.96,"BATS_5447",1322.96,0,0,121.2388,22.8625,0.00366666666678839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,121.238833333333,22.8625,8.84,4.1,3.92,"BATS",55.33,72.98,-178.82,324.98,88.87,-17.03,"BATS",0,0,0,0,"CHY","嘉義市","嘉義市","西區","CWB_BH",120.4325,23.4963,27,"北湖里海口寮24號",191209.357,2599561.676,247.945,201.48,NA,"D2","D","-",248,247.945,"pick","",NA,NA,NA,108.72197866117,108.72197866117
"B000007","2018_0101_1922_03","2018_0101_1922_03_EDH",2018,1,1,19,22,2.96,22,51.75,121,14.33,8.84,4.28,99,12.1,74,0.35,0.1,0.2,"F",198,"C",121.238833333333,22.8625,"13011921.P18","201801011922_EDH_13011921.P18.asc",20,22.39844,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.96,22.8625,121.2388,8.84,4.28,55.33,72.98,-178.82,324.98,88.87,-17.03,4.11e+21,3.68,1322.96,"BATS_5447",1322.96,0,0,121.2388,22.8625,0.00366666666678839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,121.238833333333,22.8625,8.84,4.1,3.92,"BATS",55.33,72.98,-178.82,324.98,88.87,-17.03,"BATS",0,0,0,0,"EDH","東河","臺東縣","東河鄉","CWB_BH",121.3039,22.9725,-221,"東河村16鄰35號",280331.122,2541475.601,519.107,663.94,1,NA,NA,NA,NA,663.94,"EGDT.mea",NA,NA,NA,NA,16.4652810786819,16.4652810786819
"B000008","2018_0101_1922_03","2018_0101_1922_03_LONT",2018,1,1,19,22,2.96,22,51.75,121,14.33,8.84,4.28,99,12.1,74,0.35,0.1,0.2,"F",198,"C",121.238833333333,22.8625,"13011921.P18","201801011922_LONT_13011921.P18.asc",20,22.60156,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.96,22.8625,121.2388,8.84,4.28,55.33,72.98,-178.82,324.98,88.87,-17.03,4.11e+21,3.68,1322.96,"BATS_5447",1322.96,0,0,121.2388,22.8625,0.00366666666678839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,121.238833333333,22.8625,8.84,4.1,3.92,"BATS",55.33,72.98,-178.82,324.98,88.87,-17.03,"BATS",0,0,0,0,"LONT","鹿野","臺東縣","鹿野鄉","CWB_BH",121.1299,22.9064,-90,"龍田村北二路66號",262496.672,2534129.803,639.556,NA,NA,NA,NA,NA,NA,639.556,"pick",NA,NA,NA,NA,15.0571352188921,15.0571352188921
"B000009","2018_0101_1922_03","2018_0101_1922_03_TTN",2018,1,1,19,22,2.96,22,51.75,121,14.33,8.84,4.28,99,12.1,74,0.35,0.1,0.2,"F",198,"C",121.238833333333,22.8625,"13011921.P18","201801011922_TTN_13011921.P18.asc",20,23.30469,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.96,22.8625,121.2388,8.84,4.28,55.33,72.98,-178.82,324.98,88.87,-17.03,4.11e+21,3.68,1322.96,"BATS_5447",1322.96,0,0,121.2388,22.8625,0.00366666666678839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,121.238833333333,22.8625,8.84,4.1,3.92,"BATS",55.33,72.98,-178.82,324.98,88.87,-17.03,"BATS",0,0,0,0,"TTN","台東市","台東縣","台東市","CWB_BH",121.1549,22.7524,-287,"大同路106號",265079.147,2517079.66,664.919,491.66,1,"C3","D","-",665,491.66,"EGDT.mea","",NA,NA,NA,17.3508068976633,17.3508068976633
"B000010","2018_0101_2010_28","2018_0101_2010_28_EDH",2018,1,1,20,10,28.45,22,51.07,121,14.83,7.56,3.76,99,13.5,77,0.33,0.1,0.2,"F",190,"C",121.247166666667,22.8511666666667,"13012010.P18","201801012010_EDH_13012010.P18.asc",19.99219,22.39062,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.45,22.8511,121.2471,7.56,3.76,146.4,55.07,-27.2,252.8,67.99,-141.86,3.24e+21,3.61,628.45,"BATS_5448",628.45,0,0,121.2471,22.8511,0.00991071249854134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,121.247166666667,22.8511666666667,7.56,3.56,3.85,"BATS",146.4,55.07,-27.2,252.8,67.99,-141.86,"BATS",0,0,1,0,"EDH","東河","臺東縣","東河鄉","CWB_BH",121.3039,22.9725,-221,"東河村16鄰35號",280331.122,2541475.601,519.107,663.94,1,NA,NA,NA,NA,663.94,"EGDT.mea",NA,NA,NA,NA,16.4794128839592,16.4794128839592
