,Year,Month,Date,Hour,Minute,Second,Region,Lat,Lon,Depth(m),Mag,Mag_type
0,2021,10,16,1,46,25.2,MYANMAR-INDIA BORDER REGION,24.3171,93.8462,45780,4,mb
1,2021,10,7,18,28,3.6,MYANMAR,22.3074,94.7616,110000,5.5,mww
2,2021,10,5,1,12,16.1,"ANDAMAN ISLANDS, INDIA REGION",13.7792,93.6855,60300,5,mb
3,2021,10,2,22,1,42.7,MYANMAR,24.9285,96.3949,10000,4.2,mb
4,2021,9,30,13,5,36.4,"ANDAMAN ISLANDS, INDIA REGION",11.7507,95.2935,24040,4.4,mb
5,2021,9,26,6,28,43.3,MYANMAR-INDIA BORDER REGION,23.4064,93.4982,9310,4.2,mb
6,2021,9,19,19,24,4.7,MYANMAR-INDIA BORDER REGION,25.2256,94.8803,80050,5,mb
7,2021,9,19,9,36,34.2,EASTERN XIZANG-INDIA BORDER REG.,28.7158,96.3683,37890,4.6,mb
8,2021,9,16,4,49,42.9,MYANMAR-INDIA BORDER REGION,23.6577,94.5361,93270,4.4,mb
9,2021,9,15,13,29,41.9,MYANMAR-INDIA BORDER REGION,23.4599,93.4042,10000,4.6,mb
10,2021,9,14,18,47,12.9,"ANDAMAN ISLANDS, INDIA REGION",10.4507,93.2806,87800,4.4,mb
11,2021,9,13,16,30,44.2,"ANDAMAN ISLANDS, INDIA REGION",12.8565,95.722,10000,4.5,mb
12,2021,9,11,3,20,17.2,"ANDAMAN ISLANDS, INDIA REGION",14.1061,92.9896,10000,5.2,mb
13,2021,9,9,3,52,36.3,"ANDAMAN ISLANDS, INDIA REGION",10.3157,93.729,10000,4.5,mb
14,2021,9,9,3,44,28.8,"ANDAMAN ISLANDS, INDIA REGION",10.263,93.728,10000,4.8,mb
15,2021,9,9,3,2,25.8,"ANDAMAN ISLANDS, INDIA REGION",10.1316,93.9833,70000,4.7,mb
16,2021,9,4,12,53,31.8,"ANDAMAN ISLANDS, INDIA REGION",10.1164,91.5131,10000,4.4,mb
17,2021,9,4,12,10,24.2,"ANDAMAN ISLANDS, INDIA REGION",10.1169,91.4548,10000,4.2,mb
18,2021,9,4,12,5,15.8,MYANMAR,26.5115,96.5587,97980,4.5,mb
19,2021,9,4,10,7,22.3,"ANDAMAN ISLANDS, INDIA REGION",13.6444,93.5461,35000,4.2,mb
20,2021,9,2,3,21,59.7,"ANDAMAN ISLANDS, INDIA REGION",10.2773,93.9046,10000,4.2,mb
21,2021,8,31,16,5,14.3,"ANDAMAN ISLANDS, INDIA REGION",10.9134,91.5518,10000,4.3,mb
22,2021,8,30,18,54,46.2,"ANDAMAN ISLANDS, INDIA REGION",10.1749,93.839,52400,4.6,mb
23,2021,8,25,6,6,11.5,MYANMAR,20.8876,96.9,10000,4.4,mb
24,2021,8,24,2,15,10.3,MYANMAR,25.094,96.2561,10000,4.6,mb
